Price,Open,High,Low,Vol.,Change %
1133.8,1131.55,1145.4,1130.2,73.75M,0.27%
1130.7,1133.95,1139,1125.75,64.85M,-0.30%
1134.15,1125.6,1141.3,1125.5,67.93M,0.76%
1125.55,1117.45,1126.8,1109.35,87.54M,0.82%
1116.35,1106.8,1118.9,1106.8,92.15M,0.88%
1106.65,1085.65,1109.75,1084.35,76.19M,1.96%
1085.35,1089.2,1092.65,1079.1,61.82M,-0.35%
1089.2,1100.6,1106.15,1087.65,61.15M,-1.00%
1100.25,1092.65,1101.6,1081.35,70.94M,0.70%
1092.55,1085.95,1097,1078.9,75.60M,0.53%
1086.75,1082.8,1093.2,1080.9,82.70M,0.44%
1081.95,1052.3,1083.2,1052.3,72.62M,2.87%
1051.8,1056.5,1059.8,1045.55,56.08M,-0.42%
1056.2,1050.95,1059.45,1050.95,61.69M,0.47%
1051.3,1044.2,1052.6,1043.1,58.63M,0.69%
1044.1,1038,1048.25,1035,61.66M,0.61%
1037.8,1052,1056.55,1033.95,76.48M,-1.36%
1052.1,1046,1057.05,1039.85,58.75M,0.54%
1046.4,1036.2,1048.85,1035.95,74.62M,1.10%
1035.05,1021.1,1038.3,1021.1,89.52M,1.37%
1021.05,1010.7,1022.75,1010.1,63.19M,1.03%
1010.65,1015.9,1016.9,1007.65,56.89M,-0.44%
1015.15,1006.85,1020.5,1004.7,67.87M,0.83%
1006.8,1000.05,1013.85,994.65,73.78M,0.42%
1002.6,990.8,1004.85,989.5,91.56M,1.19%
990.8,977.65,992.25,977.55,64.76M,1.43%
976.85,982.35,990,974.25,58.43M,-0.57%
982.45,967.85,983.9,967.1,54.02M,1.50%
967.9,963.5,972.9,962.4,64.22M,0.48%
963.25,967.95,972.4,960.05,55.56M,-0.49%
968,972.05,980.75,965.55,57.37M,-0.37%
971.55,964.65,974.05,959.8,60.80M,0.52%
966.55,973.7,979.85,964.6,61.26M,-0.67%
973.1,959.85,974.4,959.85,53.82M,1.38%
959.85,952.15,961.6,951.15,49.13M,0.81%
952.15,944.2,953.45,943.15,50.64M,0.84%
944.2,936.9,945.8,936.7,55.13M,0.88%
936,938.5,944.45,934,45.85M,-0.20%
937.85,941.6,941.65,935.8,51.20M,-0.39%
941.55,950.15,951.3,938.7,66.56M,-0.91%
950.15,950.4,956.65,948.9,69.37M,-0.18%
951.85,945.85,955,943.2,71.31M,0.68%
945.4,937.45,948.95,936.65,65.76M,0.76%
938.3,930.9,940.2,930.8,62.77M,0.46%
934.05,935.25,935.55,929.85,63.80M,0.19%
932.3,929.75,936.9,929.75,57.87M,0.30%
929.5,922.85,931.05,920,62.37M,0.56%
924.3,929.45,931.35,921.1,65.20M,-0.58%
929.7,934.2,943.15,927.8,107.33M,-0.48%
934.2,943.75,951.2,931.5,66.28M,-0.99%
943.5,947.1,951.4,937.85,65.12M,-0.39%
947.2,941.5,949.7,941.5,51.70M,0.69%
940.7,958.65,958.65,936.7,47.28M,-1.87%
958.65,950.65,961.75,949,52.70M,0.78%
951.2,951.8,964.2,938.8,59.85M,0.15%
949.8,958.9,965.15,935.7,83.52M,-1.29%
962.2,1003.8,1003.8,958.2,73.20M,-4.24%
1004.85,1018,1018,1002.3,45.37M,-1.30%
1018.1,1032,1032,1016.6,49.37M,-1.30%
1031.5,1017.05,1033.45,1017.05,53.49M,1.43%
1016.95,1009.15,1018.25,1002.75,55.42M,0.77%
1009.15,999.55,1010.75,999.55,48.98M,0.98%
999.4,984.45,1002.1,984.45,49.61M,1.53%
984.3,977.4,992.05,973.5,50.07M,0.62%
978.2,1000.6,1000.6,974.1,41.58M,-2.24%
1000.6,1002.8,1006.3,996.75,41.73M,-0.21%
1002.7,1013.9,1013.9,999.6,50.31M,-1.10%
1013.85,1011.55,1019.9,1004.85,40.99M,0.25%
1011.3,1013.5,1013.5,998.4,46.53M,-0.26%
1013.9,1037.15,1038.55,1011.95,42.05M,-2.24%
1037.15,1030.6,1039.8,1030.6,19.84M,0.64%
1030.55,1025.55,1033.7,1022.05,50.21M,0.52%
1025.25,1003.45,1028.9,1001.75,62.40M,2.13%
1003.9,993.35,1011.45,992.9,47.90M,1.10%
993,999.7,1000.85,982.7,43.46M,-0.67%
999.65,1001.5,1006.4,994.2,47.58M,-0.20%
1001.7,1014.25,1017.75,1000.05,44.97M,-1.27%
1014.55,1006.65,1016.7,998.95,49.64M,0.78%
1006.7,1017.1,1021.5,1004.35,41.94M,-1.02%
1017.1,1031.05,1031.05,1014.3,45.65M,-1.37%
1031.25,1040.3,1040.75,1029.55,41.25M,-0.91%
1040.7,1046.55,1046.55,1029.9,52.52M,-0.56%
1046.6,1058.7,1058.7,1045.2,37.23M,-1.16%
1058.85,1063.55,1070.85,1057.55,46.37M,-0.43%
1063.4,1053.65,1068.65,1053.65,82.25M,0.99%
1052.95,1049.6,1057.45,1044.9,63.41M,0.31%
1049.65,1055.6,1059.6,1048.2,57.56M,-0.56%
1055.55,1070.1,1073.25,1054.9,34.61M,-1.36%
1070.15,1066.2,1075.5,1066.2,45.25M,0.38%
1066.15,1065.6,1069.2,1061.1,49.46M,0.05%
1065.6,1064.15,1071.7,1058.35,51.01M,0.12%
1064.3,1059.3,1068.8,1059.3,45.85M,0.47%
1059.3,1058.95,1065.15,1057.6,48.39M,0.10%
1058.2,1036.2,1060.5,1036.2,49.29M,2.14%
1036,1044.45,1047.05,1034.1,43.90M,-0.81%
1044.45,1048.15,1051,1040.4,53.20M,-0.34%
1048,1048.6,1055.8,1044.55,47.49M,-0.06%
1048.6,1058.2,1058.75,1047.15,42.87M,-0.84%
1057.5,1063.75,1065.8,1055.5,55.93M,-0.57%
1063.6,1047.25,1065.95,1043.7,48.00M,1.55%
1047.4,1054.3,1054.65,1041.75,53.80M,-0.70%
1054.8,1056.55,1063.7,1050.45,57.86M,-0.05%
1055.3,1040.25,1056.6,1036.5,47.03M,1.29%
1041.85,1034.75,1044.25,1026.2,76.71M,0.70%
1034.6,1037.15,1050.55,1031.35,79.53M,-0.25%
1037.2,1059.8,1059.8,1033.3,71.66M,-0.86%
1046.2,1036.35,1047.95,1026.75,69.97M,0.82%
1037.65,1057.8,1059.35,1030.35,63.98M,-1.74%
1056.05,1070.6,1075.2,1053.4,61.55M,-1.39%
1070.9,1081.4,1083.15,1069.05,59.86M,-1.11%
1082.9,1078.45,1086.2,1073.6,48.87M,0.46%
1077.9,1076.3,1080.5,1074.1,50.16M,0.14%
1076.35,1086.25,1087,1074.2,44.28M,-0.93%
1086.5,1089.3,1090.25,1083.2,47.50M,-0.17%
1088.35,1085.05,1091.35,1083.95,45.42M,0.31%
1085,1077.9,1087.5,1077.8,45.49M,0.56%
1078.95,1072.7,1080.8,1070.3,44.51M,0.48%
1073.75,1080.25,1080.4,1070.75,46.77M,-0.60%
1080.25,1097.6,1103.25,1077.4,54.05M,-1.56%
1097.35,1089.75,1099.15,1087.75,44.48M,0.73%
1089.35,1082.4,1091.45,1082.3,51.03M,0.70%
1081.8,1084.4,1089.85,1078.95,53.73M,-0.24%
1084.35,1089.75,1093.05,1081.25,47.35M,-0.48%
1089.6,1094.45,1099.85,1087.3,61.48M,-0.32%
1093.05,1100.55,1105.6,1091.2,63.89M,-0.65%
1100.15,1093.6,1102.1,1093.6,38.96M,0.61%
1093.5,1091.85,1100.1,1091.7,46.47M,0.14%
1091.95,1095.8,1095.8,1084.35,47.67M,-0.59%
1098.4,1095.65,1103.95,1095.6,61.41M,0.33%
1094.8,1085.05,1100.4,1085.05,70.34M,0.90%
1085,1075.95,1087,1072.65,46.07M,0.84%
1076,1079.3,1082.6,1073.35,39.10M,-0.31%
1079.3,1075.45,1084.95,1075.4,48.15M,0.31%
1076,1077.85,1079.9,1070.5,60.43M,-0.18%
1077.95,1073.2,1083.65,1072.85,58.44M,0.44%
1073.25,1078.7,1084.95,1069,54.16M,-0.48%
1078.45,1089,1100,1075.55,66.32M,-0.71%
1086.2,1074.45,1087.35,1074.45,59.30M,0.85%
1077,1069.95,1078.85,1066.8,64.37M,0.68%
1069.75,1064.1,1076.95,1062.3,75.86M,0.57%
1063.7,1058.35,1066.1,1045.65,74.26M,0.48%
1058.65,1070.5,1085.75,1054.95,98.47M,-1.04%
1069.8,1047.55,1072.25,1047.55,86.99M,2.28%
1045.95,1036.75,1052.45,1036.75,66.83M,0.92%
1036.4,1055.75,1055.75,1034.1,63.80M,-1.76%
1055,1067.7,1075.75,1051.8,76.92M,-1.21%
1067.9,1050.15,1070.15,1050.15,74.96M,1.69%
1050.15,1049.55,1057.45,1040.95,62.33M,0.04%
1049.7,1031.25,1051.75,1031.25,75.69M,1.80%
1031.1,1036.35,1042.2,1027.7,68.62M,-0.49%
1036.15,1026.4,1040.45,1026,78.13M,0.97%
