Close,Open,High,Low
3065.9,3031.24,3070.86,3031.24
3064.04,3073.13,3079.99,3061.39
3089.58,3071.13,3094.8,3067.92
3084.38,3083.82,3109.91,3082.02
3080.7,3094.18,3109.72,3077.89
3119.18,3083,3120.69,3083
3123.6,3119,3130.78,3110.93
3097.85,3128.41,3142.52,3093.9
3099.38,3093.66,3103.38,3078.13
3114.16,3099.12,3117.53,3091.56
3181.23,3110.98,3185.08,3109.97
3187.26,3206.81,3227.62,3179.33
3159.77,3190.2,3193.44,3150.1
3173.35,3145.34,3180.6,3126.75
3181.47,3185.32,3197.29,3166.22
3141.11,3176.15,3177.49,3131.15
3089.47,3121.9,3126.3,3081.63
3125.66,3096.93,3130.41,3096.93
3131.34,3125.55,3136.88,3120.45
3098.94,3115.98,3127.29,3093.71
3076.01,3107.89,3109.91,3072.43
3103.9,3078.16,3107.89,3078.16
3069.78,3084.02,3094.61,3062.43
3040.3,3071.1,3071.1,3027.5
3024.35,3010.14,3030.8,2993.78
3021.28,3030.65,3035.93,3008.5
3022.25,3005.92,3032.22,2993.01
3021.08,2973.97,3023.65,2973.97
3014.69,3011.42,3038.06,3011.42
3037.26,3020.23,3039.43,3012.82
2991.36,3029.56,3029.56,2988.43
2959.66,2976.04,2987.48,2948.75
2938.06,2963.61,2970.29,2921.69
2930.51,2934.67,2942.16,2916.38
2952.78,2939.18,2957.99,2927.47
2973.35,2954.29,2978.91,2953.95
2956.89,2982.01,2992.91,2953.13
2969.49,2954.13,2972.62,2934.76
2995.77,2990.99,3005.78,2989.06
3003.39,2996.16,3013.39,2993.25
2994.99,3024.99,3031.01,2991.92
3006.14,2995.7,3010.7,2980.14
3009.76,3027.9,3038.92,3002.12
2998.01,3012.18,3018.99,2992.54
2965.97,2999.54,3006.13,2963.02
2948.96,2961.75,2969.55,2941.29
2908.05,2944.28,2958.01,2906.2
2875.53,2903.96,2906.84,2855.9
2834.41,2876.32,2876.32,2828.48
2885.23,2846.8,2891.03,2846.8
2888.59,2898.02,2908.21,2884.21
2949.32,2904.91,2955.49,2900.87
2950.58,2956.94,2962.32,2928.63
2987.58,2986.54,2994.8,2974.93
2982.39,2993.58,2993.58,2967.19
2975.26,2983.74,2993.61,2958.32
2956.84,2965.19,2966.59,2950.71
2948.04,2954.99,2959.12,2942.46
2961.24,2941.54,2963.83,2935.97
2960.66,2972.35,2977.67,2957.19
2986.56,2963.82,2991.61,2963.82
3033.91,2997.47,3037.61,2997.47
3057.16,3046.9,3071.28,3041.34
3075.48,3056.18,3084.03,3056.18
3101.36,3089.51,3110.38,3089.51
3141.61,3121.17,3162.66,3121.17
3175.56,3146.93,3183.29,3140.31
3187.76,3190.67,3210.68,3181.25
3174.11,3193.13,3206.63,3158
3220.75,3192.12,3229.75,3192.12
3228.82,3224.98,3245.98,3195.6
3270.36,3247.6,3277.37,3238.89
3230.14,3276.7,3292.87,3223.03
3207.36,3243.86,3243.86,3188.78
3229.73,3186.62,3250.25,3186.62
3306.29,3235.68,3309.8,3235.68
3269.31,3320.87,3349.36,3264.76
3289.68,3256.63,3294.69,3241.4
3303.27,3298.94,3324.23,3287.28
3324.48,3316.84,3331.27,3299.48
3342.97,3335.28,3349.49,3329.21
3328.39,3360.2,3371.16,3324.4
3311.06,3338.88,3347.92,3301.78
3333.31,3321.12,3348.57,3319.25
3333.86,3332.72,3345.67,3313.45
3337.22,3339.46,3356,3329.1
3329.61,3346.56,3351.01,3321.07
3352.77,3328.66,3359.39,3318.02
3382.64,3360.86,3399.37,3360.41
3398,3393.58,3413.83,3393.58
3374.97,3389.12,3389.12,3359.76
3377.28,3376.48,3398.11,3374.73
3390.12,3383.85,3396.8,3381.07
3365.06,3399.72,3407.24,3363.11
3357.54,3380.44,3386.97,3351.89
3334.89,3364.72,3364.72,3330.02
3330.5,3350.18,3352.43,3320.42
3357.87,3339.89,3362.12,3338.94
3384.2,3367.34,3388.19,3366.28
3358.99,3416.92,3416.92,3342.12
3327.16,3355.07,3356.93,3324.25
3335.35,3334.94,3341.55,3321.49
3357.69,3333.2,3359.98,3333.2
3373.52,3358.47,3377.27,3352.55
3370.39,3377.94,3382.53,3366.24
3341.89,3364.53,3368.08,3338.09
3354.14,3348.32,3356.82,3336.95
3357.04,3364.11,3367.23,3345.62
3328.18,3351.75,3360.37,3324.49
3287.86,3332.02,3340.68,3281.93
3247.71,3283.93,3286.46,3221.69
3267.84,3247.09,3269.13,3209.51
3238.02,3273.78,3275.92,3225.74
3219.88,3246.54,3256.48,3217.37
3250.38,3216.16,3257.48,3199.18
3279.83,3260.04,3283.48,3250.52
3278.13,3283.59,3295.25,3271.75
3256.08,3268.61,3277.09,3239.02
3305.44,3253.14,3311.18,3253.14
3279.77,3309.46,3309.96,3277.33
3256.86,3281.37,3281.42,3252.49
3261.47,3269.85,3278.79,3249.63
3247.51,3266.26,3268.39,3236.33
3223.41,3250.65,3254.04,3218.37
3282.45,3248.9,3287.01,3248.9
3289.09,3284.04,3301.92,3284.04
3302.04,3303.09,3317.8,3300.85
3303.22,3301.81,3307.87,3284.58
3307.2,3303.33,3313.6,3294.68
3322.17,3318.25,3341.61,3318.25
3281.92,3316.91,3316.91,3279
3260.48,3291.07,3292.69,3259
3277.34,3254.84,3283.29,3251.4
3283.66,3294.6,3316.74,3269.8
3277.27,3301.67,3311.57,3274.64
3244.8,3271.06,3272.19,3240.16
3226.1,3233.43,3235.85,3190.06
3190.35,3252.28,3252.28,3186.43
3153.06,3182.16,3182.16,3142.89
3125.88,3152.9,3162.27,3115.32
3154.91,3117.49,3159.48,3100.14
3110.08,3151.6,3158.98,3106.85
3108.24,3113.35,3127.3,3086.43
3084.91,3115.14,3115.14,3049.05
3121.18,3103.87,3128.83,3103.87
3192.93,3118.8,3197.66,3118.32
3200.15,3195.66,3209.46,3179.79
3218.73,3208.58,3225.26,3208.58
3140.36,3216.07,3216.07,3137.56
3140.42,3122.7,3143.02,3102.65
3143.58,3148.07,3165.38,3139.65
3116.79,3138.89,3146.29,3115.06
3115.44,3115.37,3130.33,3099
3048.72,3106.93,3106.93,3039.83
3080.95,3037.54,3089.6,3037.54
3116.99,3083.94,3120.31,3079.62
3151.16,3130.84,3155.12,3119.8
3167.7,3145,3169.2,3130.8
3215.24,3181.94,3221.9,3180.87
3174.86,3205.92,3209.42,3172.68
3141.25,3160.74,3164.6,3126.83
3035.33,3137.24,3137.24,3021.74
2997.87,3030.46,3048.07,2962.97
2997.38,3010.96,3018.66,2948.67
3032.32,3005.35,3037.3,3000.72
2984.5,3002.68,3011.92,2971.94
2996.97,2992.9,3002.11,2985.6
2985.54,2994.5,2998.13,2971.69
2947.33,2997.34,3009.01,2943.45
2937.23,2951.09,2973.03,2932.34
2924.03,2935.08,2937.59,2908.29
2936.71,2909.42,2942.45,2904.44
2950.14,2949.04,2961.47,2944.13
2959.79,2942.42,2962.4,2942.42
2966.63,2949.04,2968.96,2939.16
2975.47,2977.47,2988.69,2967.88
2993,2981.87,3001.21,2972.33
2980.74,2988.18,3003,2978.54
2961.6,2980.25,2989.23,2953.42
2950,2953.12,2960.92,2943.84
2942.78,2955.19,2965.37,2934.78
2960.62,2947.03,2964.96,2947.03
2993.94,2959.51,2997.64,2959.51
3012.97,2996.67,3016.94,2993.39
3056.58,3019.48,3059.42,3019.48
3043.89,3063.14,3082.21,3039.93
3062.92,3032.85,3066.29,3025.2
3057.09,3068.12,3092.38,3054.47
3040.79,3055.2,3067.12,3032.91
3049.84,3041.63,3060.48,3036.42
3096.69,3051.3,3101.75,3050.16
3081.94,3103.56,3118.58,3076.99
3130.46,3093.72,3133.17,3086.15
3164.25,3116.85,3171.8,3116.85
3180.75,3172.05,3200.48,3158.74
3206.38,3176.56,3220.14,3170.38
3181.97,3212.99,3214.33,3176.77
3216.49,3187.41,3220.19,3187.41
3262.2,3233.05,3274.45,3233.05
3303.24,3270.06,3313.54,3270.06
3337.31,3304.65,3351.36,3295.14
3289.55,3332.66,3350.02,3281.21
3314.6,3289.36,3327.61,3287.72
3337.3,3318.9,3340.98,3318.9
3354.14,3342.65,3364.02,3338.9
3336.64,3358.38,3361.98,3325.44
3431.03,3364.1,3435.68,3362.34
3430.96,3440.69,3452.73,3417.74
3454.6,3429,3467.26,3429
3499.5,3450.57,3503.01,3427.36
3461.38,3500.19,3510.11,3457.44
3447.45,3441.07,3473.23,3438.27
3517.27,3456.85,3526.86,3456.85
3552.4,3528.28,3564.68,3522.05
3583.06,3577.96,3589.54,3532.52
3607.13,3585.57,3632.84,3585.57
3604.43,3617.74,3622.89,3584.73
3601.39,3613.42,3640.97,3596.47
3639.89,3616.98,3661.99,3592.18
3622.34,3642.3,3661.87,3610.11
3612.53,3631.46,3645.42,3607.1
3629.68,3628.02,3645.64,3623.02
3620.79,3635.86,3644.88,3604.96
3679.63,3639.42,3684.18,3639.42
3676.26,3682.09,3714.84,3659.21
3720.75,3704.63,3726.56,3704.63
3686.34,3719.17,3733.88,3657.18
3721.65,3702.14,3729.4,3662.7
3668.91,3728.84,3750,3660.34
3647.58,3651.39,3684.23,3625.73
3569.58,3655.26,3664.64,3564.41
3554.13,3557.13,3582.08,3534.06
3577.89,3571.75,3596.59,3551.98
3668.07,3595.6,3678.38,3572.64
